goos: darwin
goarch: arm64
pkg: objbench/hybrid
cpu: Apple M1
BenchmarkDowncastD3-8     	387717747	         3.021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	412438810	         3.003 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	407484414	         2.898 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	395565001	         2.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	369369614	         3.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	396283520	         3.112 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	380006284	         2.915 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	388480526	         3.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD3-8     	354706056	         3.245 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	387130594	         3.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	393741694	         3.149 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	368912557	         3.010 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	409679881	         2.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	398348678	         2.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	376083345	         2.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	395451048	         2.967 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	406994022	         2.906 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	422002135	         2.939 ns/op	       0 B/op	       0 allocs/op
BenchmarkDowncastD6-8     	402542614	         2.920 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	objbench/uniform	190.341s
