goos: darwin
goarch: arm64
pkg: gcopt/q1_devirt
cpu: Apple M1
BenchmarkClosureEscapeByValue-8   	30122265	        11.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	31105878	        11.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	31213532	        11.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	30250618	        11.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	31265265	        11.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	31000520	        11.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	30962746	        11.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	30876550	        11.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	31068853	        11.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByValue-8   	31166469	        11.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkClosureEscapeByRef-8     	16288424	        22.30 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	15782925	        22.20 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16275415	        22.21 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16044091	        22.24 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16422950	        22.17 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16106661	        22.08 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16055300	        24.68 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	15376400	        22.41 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16260039	        22.21 ns/op	      24 B/op	       2 allocs/op
BenchmarkClosureEscapeByRef-8     	16108672	        22.19 ns/op	      24 B/op	       2 allocs/op
PASS
ok  	gcopt/q2_closure	42.718s
goos: darwin
goarch: arm64
pkg: gcopt/q3_bigfunc
cpu: Apple M1
BenchmarkBigChain50-8      	 7588617	        47.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7602146	        47.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7588539	        47.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7579831	        47.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7594021	        48.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7585887	        47.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7593940	        47.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7604382	        47.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7582033	        47.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain50-8      	 7587126	        47.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2697165	       133.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2700607	       133.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2698197	       133.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2699175	       133.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2695160	       138.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2691960	       135.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2445920	       145.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2631482	       134.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2671476	       135.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain100-8     	 2653803	       133.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       323.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       324.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       325.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       323.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       323.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       323.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       330.8 ns/op	       0 B/op	       0 allocs/op
